Sigla,Codigo,Municipio,pop,fundo_municipal,desp_orcament,receita,superavit,fundo_municipal_PC,desp_orcament_PC ,receita_PC,,
AL,2700102,Água Branca,19.377,9.996.223,17.745.649,24.549.433,6.803.784,515.88,915.81,1266.94,,
AL,2700201,Anadia,17.424,9.996.223,16.364.291,22.973.214,6.608.923,573.70,939.18,1318.48,,
AL,2700300,Arapiraca,214.006,61.447.266,154.986.662,272.167.528,6.608.923,287.13,724.22,1271.78,,
AL,2700409,Atalaia,44.322,18.326.421,45.422.931,61.151.743,15.728.812,413.48,1024.84,1379.72,,
AL,2700508,Barra de Santo Antônio,14.230,8.330.185,20.894.013,22.391.817,1.497.804,585.40,1468.31,1573.56,,
AL,2700607,Barra de São Miguel,7.574,4.998.111,25.826.615,17.689.854,-8.136.761,659.90,3409.90,2335.60,,
AL,2700706,Batalha,17.076,8.330.185,13.804.949,23.211.149,9.406.200,487.83,808.44,1359.28,,
AL,2700805,Belém,4.551,7.794.034,13.826.799,19.255.521,5.428.722,1712.60,3038.19,4231.05,,
AL,2700904,Belo Monte,7.030,4.998.111,8.903.510,12.677.337,3.773.827,710.97,1266.50,1803.32,,
AL,2701001,Boca da Mata,25.776,11.662.260,24.062.233,37.931.241,13.869.008,452.45,933.51,1471.57,,
AL,2701100,Branquinha,10.583,6.664.148,14.138.581,18.481.834,4.343.253,629.70,1335.97,1746.37,,
AL,2701209,Cacimbinhas,10.195,4.998.111,9.273.970,15.135.779,5.861.809,490.25,909.66,1484.63,,
AL,2701308,Cajueiro,20.409,9.996.223,21.597.615,30.479.631,8.882.016,489.79,1058.24,1493.44,,
AL,2701357,Campestre,6.598,4.998.111,7.678.206,10.570.880,2.892.674,757.52,1163.72,1602.13,,
AL,2701407,Campo Alegre,50.816,16.660.371,32.398.143,50.931.204,18.533.061,327.86,637.56,1002.27,,
AL,2701506,Campo Grande,9.032,7.794.034,13.826.799,19.255.521,5.428.722,862.94,1530.87,2131.92,,
AL,2701605,Canapi,17.250,10.076.814,16.984.173,26.859.835,9.875.662,584.16,984.59,1557.09,,
AL,2701704,Capela,17.077,9.658.463,19.768.934,27.272.836,7.503.902,565.58,1157.64,1597.05,,
AL,2701803,Carneiros,8.290,4.741.357,11.040.076,12.269.452,1.229.376,571.94,1331.73,1480.03,,
AL,2701902,Chã Preta,7.146,4.998.111,9.724.840,12.517.950,2.793.110,699.43,1360.88,1751.74,,
AL,2702009,Coité do Nóia,10.926,6.717.876,9.978.731,16.728.771,6.750.040,614.85,913.30,1531.10,,
AL,2702108,Colônia Leopoldina,20.019,10.076.814,18.857.231,27.995.315,9.138.084,503.36,941.97,1398.44,,
AL,2702207,Coqueiro Seco,5.526,4.998.111,7.623.944,10.736.776,3.112.832,904.47,1379.65,1942.96,,
AL,2702306,Coruripe,52.130,18.474.159,62.784.300,96.446.006,33.661.706,354.39,1204.38,1850.11,,
AL,2702355,Craíbas,22.641,7.794.034,13.826.799,19.255.521,5.428.722,344.24,610.70,850.47,,
AL,2702405,Delmiro Gouveia,48.096,16.660.371,54.043.711,77.854.682,23.810.971,346.40,1123.66,1618.74,,
AL,2702504,Dois Riachos,10.880,6.664.148,12.032.818,16.239.820,4.207.002,612.51,1105.96,1492.63,,
AL,2702553,Estrela de Alagoas,17.251,7.794.034,13.826.799,19.255.521,5.428.722,451.80,801.51,1116.20,,
AL,2702603,Feira Grande,21.321,9.996.223,20.052.280,25.492.635,5.440.355,468.84,940.49,1195.66,,
AL,2702702,Feliz Deserto,4.345,5.038.407,8.145.570,11.621.190,3.475.620,1159.59,1874.70,2674.61,,
AL,2702801,Flexeiras,12.325,6.664.148,13.328.775,20.280.036,6.951.261,540.70,1081.44,1645.44,,
AL,2702900,Girau do Ponciano,36.600,7.794.034,13.826.799,19.255.521,5.428.722,212.95,377.78,526.11,,
AL,2703007,Ibateguara,15.149,7.794.034,13.826.799,19.255.521,5.428.722,514.49,912.72,1271.08,,
AL,2703106,Igaci,25.188,11.662.260,24.915.456,33.477.800,8.562.344,463.01,989.18,1329.12,,
AL,2703205,Igreja Nova,23.292,11.662.260,24.330.520,34.519.894,10.189.374,500.70,1044.59,1482.05,,
AL,2703304,Inhapi,17.898,9.996.223,13.730.704,24.924.186,11.193.482,558.51,767.16,1392.57,,
AL,2703403,Jacaré dos Homens,5.413,4.998.111,7.231.044,11.241.040,4.009.996,923.35,1335.87,2076.67,,
AL,2703502,Jacuípe,6.997,4.998.111,8.220.368,14.053.868,5.833.500,714.32,1174.84,2008.56,,
AL,2703601,Japaratinga,7.754,7.794.034,13.826.799,19.255.521,5.428.722,1005.16,1783.18,2483.30,,
AL,2703700,Jaramataia,5.558,4.998.111,7.982.926,11.534.984,3.552.058,899.26,1436.29,2075.38,,
AL,2703759,Jequiá da Praia,12.029,6.664.148,16.889.465,21.645.033,4.755.568,554.01,1404.06,1799.40,,
AL,2703809,Joaquim Gomes,22.575,9.996.223,23.334.257,29.234.067,5.899.810,442.80,1033.63,1294.98,,
AL,2703908,Jundiá,4.202,4.998.111,7.736.877,11.085.859,3.348.982,1189.46,1841.24,2638.23,,
AL,2704005,Junqueiro,23.836,11.662.260,27.810.127,35.401.269,7.591.142,489.27,1166.73,1485.20,,
AL,2704104,Lagoa da Canoa,18.250,9.996.223,15.872.141,26.031.639,10.159.498,547.74,869.71,1426.39,,
AL,2704203,Limoeiro de Anadia,26.992,11.662.260,22.452.266,33.396.517,10.944.251,432.06,831.81,1237.27,,
AL,2704302,Maceió,932.748,274.404.974,587.414.048,1.197.043.794,609.629.746,294.19,629.77,1283.35,,
AL,2704401,Major Isidoro,18.897,9.996.223,16.765.353,25.812.063,9.046.710,528.98,887.20,1365.93,,
AL,2704500,Maragogi,28.749,7.794.034,13.826.799,19.255.521,5.428.722,271.11,480.95,669.78,,
AL,2704609,Maravilha,10.284,4.998.111,10.482.088,16.543.097,6.061.009,486.01,1019.26,1608.62,,
AL,2704708,Marechal Deodoro,45.977,16.660.371,61.650.398,91.937.331,30.286.933,362.36,1340.90,1999.64,,
AL,2704807,Maribondo,13.619,8.330.185,11.970.513,19.285.246,7.314.733,611.66,878.96,1416.05,,
AL,2704906,Mar Vermelho,3.652,4.998.111,6.660.319,9.497.763,2.837.444,1368.60,1823.75,2600.70,,
AL,2705002,Mata Grande,24.698,7.794.034,13.826.799,19.255.521,5.428.722,315.57,559.83,779.64,,
AL,2705101,Matriz de Camaragibe,23.785,11.578.963,23.214.925,32.959.400,9.744.475,486.82,976.03,1385.72,,
AL,2705200,Messias,15.682,8.330.185,16.031.769,24.857.234,8.825.465,531.19,1022.30,1585.08,,
AL,2705309,Minador do Negrão,5.275,4.998.111,7.220.421,10.826.566,3.606.145,947.51,1368.80,2052.43,,
AL,2705408,Monteirópolis,6.935,4.998.111,8.167.838,12.247.194,4.079.356,720.71,1177.77,1766.00,,
AL,2705507,Murici,26.710,11.663.961,27.854.648,37.963.646,10.108.998,436.69,1042.85,1421.33,,
AL,2705606,Novo Lino,12.060,7.794.034,13.826.799,19.255.521,5.428.722,646.27,1146.50,1596.64,,
AL,2705705,Olho d'Água das Flores,20.364,9.996.223,16.356.697,26.256.109,9.899.412,490.88,803.22,1289.34,,
AL,2705804,Olho d'Água do Casado,8.491,4.998.111,12.347.477,15.026.005,2.678.528,588.64,1454.18,1769.64,,
AL,2705903,Olho d'Água Grande,4.957,4.998.111,8.159.976,10.993.787,2.833.811,1008.29,1646.15,2217.83,,
