fundo_municipal_PC,desp_orcament_PC ,receita_PC,fundo_municipal,desp_orcament,receita
515.88,915.81,1266.94,9996223,17745649,24549433
573.70,939.18,1318.48,9996223,16364291,22973214
287.13,724.22,1271.78,61447266,154986662,272167528
413.48,1024.84,1379.72,18326421,45422931,61151743
585.40,1468.31,1573.56,8330185,20894013,22391817
659.90,3409.90,2335.60,4998111,25826615,17689854
487.83,808.44,1359.28,8330185,13804949,23211149
1712.60,3038.19,4231.05,7794034,13826799,19255521
710.97,1266.50,1803.32,4998111,8903510,12677337
452.45,933.51,1471.57,11662260,24062233,37931241
629.70,1335.97,1746.37,6664148,14138581,18481834
490.25,909.66,1484.63,4998111,9273970,15135779
489.79,1058.24,1493.44,9996223,21597615,30479631
757.52,1163.72,1602.13,4998111,7678206,10570880
327.86,637.56,1002.27,16660371,32398143,50931204
862.94,1530.87,2131.92,7794034,13826799,19255521
584.16,984.59,1557.09,10076814,16984173,26859835
565.58,1157.64,1597.05,9658463,19768934,27272836
571.94,1331.73,1480.03,4741357,11040076,12269452
699.43,1360.88,1751.74,4998111,9724840,12517950
614.85,913.30,1531.10,6717876,9978731,16728771
503.36,941.97,1398.44,10076814,18857231,27995315
904.47,1379.65,1942.96,4998111,7623944,10736776
354.39,1204.38,1850.11,18474159,62784300,96446006
344.24,610.70,850.47,7794034,13826799,19255521
346.40,1123.66,1618.74,16660371,54043711,77854682
612.51,1105.96,1492.63,6664148,12032818,16239820
451.80,801.51,1116.20,7794034,13826799,19255521
468.84,940.49,1195.66,9996223,20052280,25492635
1159.59,1874.70,2674.61,5038407,8145570,11621190
540.70,1081.44,1645.44,6664148,13328775,20280036
212.95,377.78,526.11,7794034,13826799,19255521
514.49,912.72,1271.08,7794034,13826799,19255521
463.01,989.18,1329.12,11662260,24915456,33477800
500.70,1044.59,1482.05,11662260,24330520,34519894
558.51,767.16,1392.57,9996223,13730704,24924186
923.35,1335.87,2076.67,4998111,7231044,11241040
714.32,1174.84,2008.56,4998111,8220368,14053868
1005.16,1783.18,2483.30,7794034,13826799,19255521
899.26,1436.29,2075.38,4998111,7982926,11534984
554.01,1404.06,1799.40,6664148,16889465,21645033
442.80,1033.63,1294.98,9996223,23334257,29234067
1189.46,1841.24,2638.23,4998111,7736877,11085859
489.27,1166.73,1485.20,11662260,27810127,35401269
547.74,869.71,1426.39,9996223,15872141,26031639
432.06,831.81,1237.27,11662260,22452266,33396517
294.19,629.77,1283.35,274404974,587414048,1197043794
528.98,887.20,1365.93,9996223,16765353,25812063
271.11,480.95,669.78,7794034,13826799,19255521
486.01,1019.26,1608.62,4998111,10482088,16543097
362.36,1340.90,1999.64,16660371,61650398,91937331
611.66,878.96,1416.05,8330185,11970513,19285246
1368.60,1823.75,2600.70,4998111,6660319,9497763
315.57,559.83,779.64,7794034,13826799,19255521
486.82,976.03,1385.72,11578963,23214925,32959400
531.19,1022.30,1585.08,8330185,16031769,24857234
947.51,1368.80,2052.43,4998111,7220421,10826566
720.71,1177.77,1766.00,4998111,8167838,12247194
436.69,1042.85,1421.33,11663961,27854648,37963646
646.27,1146.50,1596.64,7794034,13826799,19255521
490.88,803.22,1289.34,9996223,16356697,26256109
588.64,1454.18,1769.64,4998111,12347477,15026005
1008.29,1646.15,2217.83,4998111,8159976,10993787
603.25,1180.56,1501.53,6664148,13041699,16587352
610.72,954.29,1520.49,6664148,10413208,16591605
1524.65,2704.77,3766.73,7794034,13826799,19255521
307.79,735.96,1234.24,21658482,51787823,86850884
489.78,819.06,1458.95,11662260,19502731,34739105
649.27,1076.54,1592.51,6664148,11049610,16345560
587.30,807.39,1206.32,6664148,9161409,13688163
564.26,1056.83,1440.70,8330185,15601921,21269066
673.06,1087.26,1730.40,4998111,8074016,12849969
303.53,884.46,1317.22,18326408,53402152,79531030
581.07,1038.26,1319.20,9996223,17861174,22694218
398.42,1332.55,2203.98,13269382,44380686,73403647
1743.93,2552.56,2943.28,4998111,7315627,8435435
506.06,1534.70,2326.01,11662260,35367172,53602926
480.33,970.37,1300.70,6663148,13460984,18043329
453.64,950.63,1413.85,11662260,24438894,36347135
790.62,3190.17,1898.12,6664148,26889947,15999217
517.03,852.41,1138.84,9996222,16480535,22018419
580.50,1090.59,1726.67,6664148,12519946,19822142
291.94,737.52,1105.49,19992445,50506122,75704750
742.42,1349.40,2123.92,4941550,8981637,14136780
725.31,1404.61,1817.60,4998111,9679199,12525073
333.71,647.17,1244.17,14994334,29078798,55902925
711.07,1261.45,1756.73,7794034,13826799,19255521
743.99,1010.19,1708.66,4998111,6786425,11478747
440.63,1062.24,1445.95,9996233,24097962,32802929
443.36,1100.70,1477.48,13339956,33117987,44454304
240.47,426.60,594.09,7794034,13826799,19255521
350.51,1146.40,1708.28,19129941,62567037,93233042
697.77,1338.85,1690.23,4998111,9590211,12107082
416.38,822.67,1306.93,13328297,26333750,41834947
570.44,1109.62,1587.47,8330185,16203804,23181783
510.78,997.04,1348.18,6664148,13008385,17589747
823.93,1345.32,1727.89,5044088,8236025,10578153
525.56,885.10,1403.89,9996223,16834654,26701898
364.41,1121.61,1268.84,14996390,46156445,52215352
453.75,885.80,1339.66,11662260,22766957,34432057
320.61,884.68,1221.91,19992445,55166937,76195568
459.02,859.21,1391.40,11662260,21829957,35351314
